Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;Rep.;YUV-PSNR;Bitrate;Execution Time
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;22;2;41.4482;4135.8212;8504.761
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;22;3;41.4418;4129.4118;8554.894
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;22;4;41.4502;4137.2329;8449.923
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;27;0;39.0843;2221.1012;6579.224
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;27;1;39.0853;2221.8071;6555.854
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;27;2;39.0887;2224.9976;6583.236
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;27;3;39.0993;2221.92;6602.448
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;27;4;39.0853;2221.8071;6602.698
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;32;0;36.4482;1252.1506;5006.995
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;32;1;36.4482;1252.1506;4975.19
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;32;2;36.4542;1252.9412;4975.375
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;32;3;36.4528;1252.1224;5006.811
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;32;4;36.4513;1253.4212;5080.223
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;37;0;33.7283;702.5224;4102.388
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;37;1;33.7525;703.7929;4077.017
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;37;2;33.7271;702.3247;4118.385
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;37;3;33.728;702.4941;4099.378
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;37;4;33.7557;704.16;4110.722
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;22;0;41.4473;4138.56;8440.9
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;22;1;41.4473;4138.56;8420.707
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;22;2;41.4473;4138.56;8469.116
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;22;3;41.4473;4138.56;8461.07
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;22;4;41.4473;4138.56;8462.377
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;27;0;39.0853;2221.8071;6595.767
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;27;1;39.0853;2221.8071;6567.627
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;27;2;39.0853;2221.8071;6840.233
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;27;3;39.0853;2221.8071;6576.772
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;27;4;39.0853;2221.8071;6598.553
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;32;0;36.4456;1252.4612;4970.964
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;32;1;36.4482;1252.1506;5002.829
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;32;2;36.4482;1252.1506;5018.459
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;32;3;36.4482;1252.1506;4976.258
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;32;4;36.4482;1252.1506;4947.035
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;37;0;33.7283;702.5224;4100.802
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;37;1;33.7283;702.5224;4094.64
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;37;2;33.7283;702.5224;4118.478
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;37;3;33.7283;702.5224;4089.603
filt_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;37;4;33.7283;702.5224;4101.877
