Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;YUV-PSNR;Bitrate;Execution Time
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_04;1E_04;22;39.38662;4843.9426;16126.0;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_04;1E_04;27;36.58422;2330.77552;12700.702;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_04;1E_04;32;33.870160000000006;1187.46918;10196.448399999997;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_04;1E_04;37;31.19666;585.18212;8696.865800000001;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_05;1E_05;22;39.38982;4845.38544;16334.376;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_05;1E_05;27;36.586999999999996;2332.75482;12799.806;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_05;1E_05;32;33.873839999999994;1183.13508;10690.3166;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_05;1E_05;37;31.19998;586.09978;8821.817;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_06;1E_06;22;39.392579999999995;4852.9186;16239.869;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_06;1E_06;27;36.584900000000005;2330.09222;12753.3802;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_06;1E_06;32;33.86292;1181.4466;10738.8248;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_06;1E_06;37;31.20374;586.4159999999999;8740.1202;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_07;1E_07;22;39.39176;4851.47012;16239.015;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_07;1E_07;27;36.5859;2330.30684;12818.195199999998;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_07;1E_07;32;33.8729;1183.44002;10633.8714;
filt_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_07;1E_07;37;31.1957;584.5016200000001;8807.3642;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;22;41.4473;4138.56;1033.41;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;27;39.0853;2221.8071;805.3492;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;32;36.4482;1252.1506;480.81679999999994;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;37;33.7283;702.5224;389.8174;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;22;41.43476;4130.36046;8774.0924;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;27;39.08322;2222.86306;6684.394;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;32;36.44502;1255.09838;5184.8336;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;37;33.73062;703.33552;4333.787600000001;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;22;41.44106000000001;4124.77552;8860.0538;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;27;39.0953;2222.6710599999997;6697.113999999999;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;32;36.45024;1254.2513199999999;5127.8304;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;37;33.732420000000005;702.3473000000001;4308.568;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;22;41.441919999999996;4127.418360000001;8606.8922;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;27;39.0997;2222.3548399999995;6624.0148;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;32;36.45572;1254.61836;5162.739;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;37;33.75279999999999;704.3407199999999;4260.313;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;22;41.4461;4135.69694;8606.910399999999;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;27;39.089279999999995;2222.3153;6644.380200000001;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;32;36.45262;1253.9746;5106.822999999999;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;37;33.7283;702.5224;4242.7948;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;22;41.4473;4138.56;8485.6094;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;27;39.0853;2221.8071;6594.787600000001;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;32;36.4482;1252.1506;5057.5830000000005;
orig_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;37;33.7283;702.5224;4304.3784;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;0;0;22;42.6553;3428.1411999999996;1417.123;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;0;0;27;39.709;1661.3647;953.1384;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;0;0;32;36.9105;839.9529;572.7912;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;0;0;37;34.4237;437.01180000000005;430.9896;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;22;42.6444;3430.8376200000007;12749.7156;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;27;39.69202;1663.37882;10163.3514;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;32;36.923519999999996;840.1976200000001;8342.229;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_03;1E_03;37;34.39942;435.69884;7001.5742;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;22;42.65256;3430.1599799999995;12850.1652;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;27;39.703559999999996;1663.41178;10282.6634;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;32;36.91904000000001;840.0658999999999;8393.871400000002;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_04;1E_04;37;34.42308;437.86823999999996;7021.4692;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;22;42.65444;3429.60942;13168.138199999998;
